Stand_ID;soil;stand_age
LP_NS_HIGH_E_2030_H_17;andesite;20
LP_NS_HIGH_E_2030_H_18;andesite;20
LP_NS_HIGH_E_2030_H_19;andesite;50
LP_NS_HIGH_E_2030_H_20;andesite;50
LP_NS_HIGH_E_2030_H_21;andesite;50
LP_NS_HIGH_E_2030_H_22;andesite;100
LP_NS_HIGH_E_2030_H_23;andesite;100
LP_NS_HIGH_E_2030_H_24;andesite;100
LP_NS_LOW_E_2030_L_1;rhyolite;10
LP_NS_LOW_E_2030_L_2;rhyolite;10
LP_NS_LOW_E_2030_L_3;rhyolite;10
LP_NS_LOW_E_2030_L_4;rhyolite;20
LP_NS_LOW_E_2030_L_5;rhyolite;20
LP_NS_LOW_E_2030_L_6;rhyolite;20
LP_NS_LOW_E_2030_L_7;rhyolite;50
LP_NS_LOW_E_2030_L_8;rhyolite;50
LP_NS_LOW_E_2030_L_9;rhyolite;50
LP_NS_LOW_E_2030_L_10;rhyolite;100
LP_NS_LOW_E_2030_L_11;rhyolite;100
LP_NS_LOW_E_2030_L_12;rhyolite;100
LP_NS_LOW_E_2030_L_13;andesite;10
LP_NS_LOW_E_2030_L_14;andesite;10
LP_NS_LOW_E_2030_L_15;andesite;10
LP_NS_LOW_E_2030_L_16;andesite;20
LP_NS_LOW_E_2030_L_17;andesite;20
LP_NS_LOW_E_2030_L_18;andesite;20
LP_NS_LOW_E_2030_L_19;andesite;50
LP_NS_LOW_E_2030_L_20;andesite;50
LP_NS_LOW_E_2030_L_21;andesite;50
LP_NS_LOW_E_2030_L_22;andesite;100
LP_NS_LOW_E_2030_L_23;andesite;100
LP_NS_LOW_E_2030_L_24;andesite;100
LP_NS_MID_E_2030_L_1;rhyolite;10
LP_NS_MID_E_2030_L_2;rhyolite;10
LP_NS_MID_E_2030_L_3;rhyolite;10
LP_NS_MID_E_2030_L_4;rhyolite;20
LP_NS_MID_E_2030_L_5;rhyolite;20
LP_NS_MID_E_2030_L_6;rhyolite;20
LP_NS_MID_E_2030_L_7;rhyolite;50
LP_NS_MID_E_2030_L_8;rhyolite;50
LP_NS_MID_E_2030_L_9;rhyolite;50
LP_NS_MID_E_2030_L_10;rhyolite;100
LP_NS_MID_E_2030_L_11;rhyolite;100
LP_NS_MID_E_2030_L_12;rhyolite;100
LP_NS_MID_E_2030_L_13;andesite;10
LP_NS_MID_E_2030_L_14;andesite;10
LP_NS_MID_E_2030_L_15;andesite;10
LP_NS_MID_E_2030_L_16;andesite;20
LP_NS_MID_E_2030_L_17;andesite;20
LP_NS_MID_E_2030_L_18;andesite;20
LP_NS_MID_E_2030_L_19;andesite;50
LP_NS_MID_E_2030_L_20;andesite;50
LP_NS_MID_E_2030_L_21;andesite;50
LP_NS_MID_E_2030_L_22;andesite;100
LP_NS_MID_E_2030_L_23;andesite;100
LP_NS_MID_E_2030_L_24;andesite;100
LP_NS_HIGH_E_2030_L_1;rhyolite;10
LP_NS_HIGH_E_2030_L_2;rhyolite;10
LP_NS_HIGH_E_2030_L_3;rhyolite;10
