id x y modelclimatetableName modelsiteavailableNitrogen modelsitesoilDepth modelsitepctSand modelsitepctSilt modelsitepctClay
494 25 13 high_rcp_45_2030 55 30 34 33 33
495 26 13 high_rcp_45_2030 55 30 34 33 33
496 27 13 high_rcp_45_2030 55 30 34 33 33
497 28 13 high_rcp_45_2030 55 30 34 33 33
498 29 13 high_rcp_45_2030 55 30 34 33 33
499 30 13 high_rcp_45_2030 55 30 34 33 33
500 31 13 high_rcp_45_2030 55 30 34 33 33
501 32 13 high_rcp_45_2030 55 30 34 33 33
502 33 13 high_rcp_45_2030 55 30 34 33 33
503 34 13 high_rcp_45_2030 55 30 34 33 33
504 35 13 high_rcp_45_2030 55 30 34 33 33
505 0 14 low_rcp_8_2030 45 30 34 33 33
506 1 14 low_rcp_8_2030 45 30 34 33 33
507 2 14 low_rcp_8_2030 45 30 34 33 33
508 3 14 low_rcp_8_2030 45 30 34 33 33
509 4 14 low_rcp_8_2030 45 30 34 33 33
510 5 14 low_rcp_8_2030 45 30 34 33 33
511 6 14 low_rcp_8_2030 45 30 34 33 33
512 7 14 low_rcp_8_2030 45 30 34 33 33
513 8 14 low_rcp_8_2030 45 30 34 33 33
514 9 14 low_rcp_8_2030 45 30 34 33 33
515 10 14 low_rcp_8_2030 45 30 34 33 33
516 11 14 low_rcp_8_2030 45 30 34 33 33
517 12 14 low_rcp_8_2030 55 30 34 33 33
518 13 14 low_rcp_8_2030 55 30 34 33 33
519 14 14 low_rcp_8_2030 55 30 34 33 33
520 15 14 low_rcp_8_2030 55 30 34 33 33
521 16 14 low_rcp_8_2030 55 30 34 33 33
522 17 14 low_rcp_8_2030 55 30 34 33 33
523 18 14 low_rcp_8_2030 55 30 34 33 33
524 19 14 low_rcp_8_2030 55 30 34 33 33
525 20 14 low_rcp_8_2030 55 30 34 33 33
526 21 14 low_rcp_8_2030 55 30 34 33 33
527 22 14 low_rcp_8_2030 55 30 34 33 33
528 23 14 low_rcp_8_2030 55 30 34 33 33
529 24 14 mid_rcp_8_2030 45 30 34 33 33
530 25 14 mid_rcp_8_2030 45 30 34 33 33
531 26 14 mid_rcp_8_2030 45 30 34 33 33
532 27 14 mid_rcp_8_2030 45 30 34 33 33
533 28 14 mid_rcp_8_2030 45 30 34 33 33
534 29 14 mid_rcp_8_2030 45 30 34 33 33
535 30 14 mid_rcp_8_2030 45 30 34 33 33
536 31 14 mid_rcp_8_2030 45 30 34 33 33
