rid,Stand_ID,model climate name,soil,stand_age,distance,species
177,LP_S_MID_E_2030_L_9,mid_8_2030,rhyolite,50,1000,LPS
178,LP_S_MID_E_2030_L_10,mid_8_2030,rhyolite,100,50,LPS
179,LP_S_MID_E_2030_L_11,mid_8_2030,rhyolite,100,500,LPS
180,LP_S_MID_E_2030_L_12,mid_8_2030,rhyolite,100,1000,LPS
181,LP_S_MID_E_2030_L_13,mid_8_2030,andesite,10,50,LPS
182,LP_S_MID_E_2030_L_14,mid_8_2030,andesite,10,500,LPS
183,LP_S_MID_E_2030_L_15,mid_8_2030,andesite,10,1000,LPS
184,LP_S_MID_E_2030_L_16,mid_8_2030,andesite,20,50,LPS
185,LP_S_MID_E_2030_L_17,mid_8_2030,andesite,20,500,LPS
186,LP_S_MID_E_2030_L_18,mid_8_2030,andesite,20,1000,LPS
187,LP_S_MID_E_2030_L_19,mid_8_2030,andesite,50,50,LPS
188,LP_S_MID_E_2030_L_20,mid_8_2030,andesite,50,500,LPS
189,LP_S_MID_E_2030_L_21,mid_8_2030,andesite,50,1000,LPS
190,LP_S_MID_E_2030_L_22,mid_8_2030,andesite,100,50,LPS
191,LP_S_MID_E_2030_L_23,mid_8_2030,andesite,100,500,LPS
192,LP_S_MID_E_2030_L_24,mid_8_2030,andesite,100,1000,LPS
193,LP_S_HIGH_E_2030_L_1,high_8_2030,rhyolite,10,50,LPS
194,LP_S_HIGH_E_2030_L_2,high_8_2030,rhyolite,10,500,LPS
195,LP_S_HIGH_E_2030_L_3,high_8_2030,rhyolite,10,1000,LPS
196,LP_S_HIGH_E_2030_L_4,high_8_2030,rhyolite,20,50,LPS
197,LP_S_HIGH_E_2030_L_5,high_8_2030,rhyolite,20,500,LPS
198,LP_S_HIGH_E_2030_L_6,high_8_2030,rhyolite,20,1000,LPS
199,LP_S_HIGH_E_2030_L_7,high_8_2030,rhyolite,50,50,LPS
200,LP_S_HIGH_E_2030_L_8,high_8_2030,rhyolite,50,500,LPS
201,LP_S_HIGH_E_2030_L_9,high_8_2030,rhyolite,50,1000,LPS
202,LP_S_HIGH_E_2030_L_10,high_8_2030,rhyolite,100,50,LPS
203,LP_S_HIGH_E_2030_L_11,high_8_2030,rhyolite,100,500,LPS
204,LP_S_HIGH_E_2030_L_12,high_8_2030,rhyolite,100,1000,LPS
205,LP_S_HIGH_E_2030_L_13,high_8_2030,andesite,10,50,LPS
206,LP_S_HIGH_E_2030_L_14,high_8_2030,andesite,10,500,LPS
207,LP_S_HIGH_E_2030_L_15,high_8_2030,andesite,10,1000,LPS
208,LP_S_HIGH_E_2030_L_16,high_8_2030,andesite,20,50,LPS
209,LP_S_HIGH_E_2030_L_17,high_8_2030,andesite,20,500,LPS
210,LP_S_HIGH_E_2030_L_18,high_8_2030,andesite,20,1000,LPS
211,LP_S_HIGH_E_2030_L_19,high_8_2030,andesite,50,50,LPS
