"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"177"	"short"	"LPS"	9	70	"high"	"8"	"2030"	"andesite"	"20"	2268.68278474446	2.3679945540876	1.3035731122069	8.32344113810118	44503.7365391557	-94.9022644812118
"179"	"short"	"LPS"	9	71	"high"	"8"	"2030"	"andesite"	"50"	49491.6826965298	1.44122761167628	1.30569620331644	9.4857906642423	15807.554813029	213.088793819887
"181"	"short"	"LPS"	9	72	"high"	"8"	"2030"	"andesite"	"100"	40705.9931875273	1.81391382608972	1.41986891054252	7.86940234353171	4931.38000838555	725.448315041813
"183"	"short"	"LPS"	9	73	"low"	"4.5"	"2070"	"rhyolite"	"10"	1292.61020452281	1.5734399699418	1.02327859080618	6.21411226091594	42157.2211224113	-96.9338344176684
"185"	"short"	"LPS"	9	74	"low"	"4.5"	"2070"	"rhyolite"	"20"	1324.34453036411	1.30647562166601	0.874197263981808	6.54237031936646	5753.14021286434	-76.9804927159119
"187"	"short"	"LPS"	9	75	"low"	"4.5"	"2070"	"rhyolite"	"50"	43567.1790836346	0.92767210061527	0.889648192126653	7.02518312021291	28405.7630501849	53.3744367530768
"189"	"short"	"LPS"	9	76	"low"	"4.5"	"2070"	"rhyolite"	"100"	53770.0968495469	0.836821805691853	0.769754085453414	6.81035343670831	7903.28690521642	580.351067782405
"191"	"short"	"LPS"	9	77	"low"	"4.5"	"2070"	"andesite"	"10"	1193.98729995862	2.28882042084347	1.21326621613234	7.83284384933944	43102.9543047704	-97.2299177185948
"193"	"short"	"LPS"	9	78	"low"	"4.5"	"2070"	"andesite"	"20"	1241.36766452942	1.79384926468133	1.00203237908126	7.68867100501547	9481.55029007716	-86.907545427159
"195"	"short"	"LPS"	9	79	"low"	"4.5"	"2070"	"andesite"	"50"	47073.4179449505	1.08742663020384	1.03195894104	8.66661892481183	35800.7277495824	31.48732135899
"197"	"short"	"LPS"	9	8	"low"	"0"	"hist"	"andesite"	"100"	32762.7181797621	1.28293826772483	1.12285774893971	7.87275855077638	4193.2687291019	681.316922342325
