"distance"	"species"	"replicate"	"rid"	"elevation"	"rcp"	"period"	"model.soil.y"	"model.stand.age.x.post"	"density.post"	"w.height.post"	"height_avg_m.s.post"	"height_avg_m.post"	"density.pre"	"dens.change"
"129"	"short"	"LP"	7	49	"low"	"8"	"2030"	"rhyolite"	"10"	1378.22436083785	1.39032072498792	0.942625831297884	6.26179832014544	330.311573302415	317.249794507206
"131"	"short"	"LP"	7	5	"low"	"0"	"hist"	"andesite"	"10"	1515.42807817053	1.62329513736586	1.07522308483511	7.93938653331158	330.788056145363	358.126601011428
"133"	"short"	"LP"	7	50	"low"	"8"	"2030"	"rhyolite"	"20"	2318.91578834964	1.17641347168235	0.811835387582457	6.23123202415613	1279.52104037698	81.2331110761897
"135"	"short"	"LP"	7	51	"low"	"8"	"2030"	"rhyolite"	"50"	1244.45531931713	1.80199706904366	1.0683153725597	6.921097999964	2637.1356416987	-52.8103409001928
"137"	"short"	"LP"	7	52	"low"	"8"	"2030"	"rhyolite"	"100"	1920.49982566283	1.39570556279366	0.987000950085728	6.47593198122678	3166.02783617488	-39.3403998625884
"139"	"short"	"LP"	7	53	"low"	"8"	"2030"	"andesite"	"10"	1300.58861692193	1.81303022476099	1.1020180766155	7.2260863307296	339.399885509685	283.20243242534
"141"	"short"	"LP"	7	54	"low"	"8"	"2030"	"andesite"	"20"	2721.39294719796	1.25899438752823	0.899599167201054	7.4199699529012	1434.5105870632	89.7088088258258
"143"	"short"	"LP"	7	55	"low"	"8"	"2030"	"andesite"	"50"	1479.71009542048	1.90573343568119	1.18739372961411	7.70846437384014	2168.0247039156	-31.7484670378515
"145"	"short"	"LP"	7	56	"low"	"8"	"2030"	"andesite"	"100"	1456.89586809839	1.98850062772735	1.04956493211617	7.72240168990158	3082.2593121816	-52.7328585774567
"147"	"short"	"LP"	7	57	"med"	"8"	"2030"	"rhyolite"	"10"	1742.77148091867	1.54092464895195	1.03823813069236	6.65405689905851	317.535038682475	448.8438341009
"149"	"short"	"LP"	7	58	"med"	"8"	"2030"	"rhyolite"	"20"	2235.1781229956	1.42386627233684	0.955142393339909	6.6182848801484	1610.60205343013	38.7790434164234
"151"	"short"	"LP"	7	59	"med"	"8"	"2030"	"rhyolite"	"50"	2010.31350215856	1.47051654758345	0.909456847347768	7.14098110646833	2413.75193078439	-16.714162854951
"153"	"short"	"LP"	7	6	"low"	"0"	"hist"	"andesite"	"20"	931.899856904773	2.10476609583774	1.16614031737977	8.39510914905012	1254.05584858456	-25.6891263689252
"155"	"short"	"LP"	7	60	"med"	"8"	"2030"	"rhyolite"	"100"	1580.83799853145	1.82350569294011	1.1295922319542	6.45466391554157	2959.07162147422	-46.5765550566879
"157"	"short"	"LP"	7	61	"med"	"8"	"2030"	"andesite"	"10"	1536.2919415892	2.11033301257332	1.32966709875939	7.95580385271357	324.183371453707	373.895972733007
"159"	"short"	"LP"	7	62	"med"	"8"	"2030"	"andesite"	"20"	2680.4573508384	1.65829752058785	1.08788467836216	8.06947050464752	1905.27497386173	40.686115527224
"161"	"short"	"LP"	7	63	"med"	"8"	"2030"	"andesite"	"50"	2251.21177381924	2.01320769814491	1.22071457416821	8.62349404042192	2818.73862553573	-20.1340715515483
"163"	"short"	"LP"	7	64	"med"	"8"	"2030"	"andesite"	"100"	1414.79046201681	2.58247049661243	1.28578117853843	7.83772289071764	3549.70715141321	-60.1434596807922
"165"	"short"	"LP"	7	65	"high"	"8"	"2030"	"rhyolite"	"10"	2083.82924536857	1.89084453471844	1.11587660131299	7.03126430773473	326.878313696784	537.4938801543
"167"	"short"	"LP"	7	66	"high"	"8"	"2030"	"rhyolite"	"20"	3252.68914160648	1.49879885436053	0.973753120568064	6.8831322110648	2060.75676115914	57.8395472436495
"169"	"short"	"LP"	7	67	"high"	"8"	"2030"	"rhyolite"	"50"	2067.23701232014	1.91126727343293	1.07585058951378	7.40187362873511	3135.56146199813	-34.0712329394814
"171"	"short"	"LP"	7	68	"high"	"8"	"2030"	"rhyolite"	"100"	2564.20338163226	1.73489662551606	1.01300900283188	7.00351606835054	4379.82636232287	-41.4542228502338
"173"	"short"	"LP"	7	69	"high"	"8"	"2030"	"andesite"	"10"	1775.14897925875	2.62733924814517	1.46513084093057	8.41157214649599	335.033950689485	429.841520719191
"175"	"short"	"LP"	7	7	"low"	"0"	"hist"	"andesite"	"50"	967.086585074556	1.86704714613514	1.15453582738178	7.84444008058715	1889.76100364309	-48.824926368456
"177"	"short"	"LP"	7	70	"high"	"8"	"2030"	"andesite"	"20"	3718.2897097895	1.81715175570225	1.1239898077973	8.72687163113844	3087.43513941433	20.432965937378
"179"	"short"	"LP"	7	71	"high"	"8"	"2030"	"andesite"	"50"	2536.60623624864	2.45429356967118	1.35029088863695	9.02267468465518	3403.48301026871	-25.4702835714061
"181"	"short"	"LP"	7	72	"high"	"8"	"2030"	"andesite"	"100"	2512.7574557053	2.40801768244569	1.33863314049206	8.62075774973324	4544.2431495349	-44.7045993574864
"183"	"short"	"LP"	7	73	"low"	"4.5"	"2070"	"rhyolite"	"10"	1757.02515807723	1.28442077266477	0.959330554423861	6.39925143151056	340.06440583737	416.674232268078
"185"	"short"	"LP"	7	74	"low"	"4.5"	"2070"	"rhyolite"	"20"	1671.20013091937	1.36750636562322	0.952569821856141	6.54484406594307	1599.82579619866	4.46138166357252
"187"	"short"	"LP"	7	75	"low"	"4.5"	"2070"	"rhyolite"	"50"	1712.78768697864	1.310622280856	0.907493013953668	6.13836304888581	2744.79266533498	-37.5986496681486
"189"	"short"	"LP"	7	76	"low"	"4.5"	"2070"	"rhyolite"	"100"	1487.78196855972	1.6279800999501	1.08531941383628	7.11039989030183	3167.04949021177	-53.0230906350556
"191"	"short"	"LP"	7	77	"low"	"4.5"	"2070"	"andesite"	"10"	2620.12536071861	1.34625901167365	0.928985469025236	7.67780640390184	343.655966730477	662.426849632885
"193"	"short"	"LP"	7	78	"low"	"4.5"	"2070"	"andesite"	"20"	1883.09722303367	1.86206254170426	1.22885004049416	8.0817276417524	1434.25283769302	31.2946485825056
"195"	"short"	"LP"	7	79	"low"	"4.5"	"2070"	"andesite"	"50"	1385.17809436102	1.92584481624643	1.14454369047321	7.625029945088	2901.64421931282	-52.2623040708601
"197"	"short"	"LP"	7	8	"low"	"0"	"hist"	"andesite"	"100"	997.848626720199	1.80011053442755	1.17778015329206	8.23450192809105	2567.76093101349	-61.1393485013284
"199"	"short"	"LP"	7	80	"low"	"4.5"	"2070"	"andesite"	"100"	1665.18586998763	1.86213984315812	1.14990287347605	7.73883030679491	3801.50812512549	-56.196703645539
"201"	"short"	"LP"	7	81	"med"	"4.5"	"2070"	"rhyolite"	"10"	2566.78003864554	1.33133078023605	0.909513221813615	7.06129099970514	320.505177040777	700.854470540728
"203"	"short"	"LP"	7	82	"med"	"4.5"	"2070"	"rhyolite"	"20"	2125.80640570058	1.50184839446078	1.01186206262782	7.32468680757465	1380.19707002217	54.0219474358424
"205"	"short"	"LP"	7	83	"med"	"4.5"	"2070"	"rhyolite"	"50"	1679.18845895211	1.53940570223984	0.95850431898815	6.83466635841921	2442.19637334919	-31.2426929596452
"207"	"short"	"LP"	7	84	"med"	"4.5"	"2070"	"rhyolite"	"100"	1853.79299662149	1.60090326749779	1.01722657184788	7.34480417820445	2840.89095168685	-34.7460698721734
"209"	"short"	"LP"	7	85	"med"	"4.5"	"2070"	"andesite"	"10"	3574.56923451151	1.51969166478787	1.07420058399439	8.41262782663794	329.19974679288	985.835961095223
"211"	"short"	"LP"	7	86	"med"	"4.5"	"2070"	"andesite"	"20"	2131.59378246609	2.03682168188493	1.32541725437627	8.58104048163126	1954.96907959931	9.03465454824354
"213"	"short"	"LP"	7	87	"med"	"4.5"	"2070"	"andesite"	"50"	1437.00368670108	2.31105150730748	1.25832411894186	8.3273574748886	2896.729730227	-50.3922070565943
"215"	"short"	"LP"	7	88	"med"	"4.5"	"2070"	"andesite"	"100"	2204.56082348747	2.25712086381198	1.34722422378709	9.06231070848612	3754.08804562865	-41.2757293730892
"217"	"short"	"LP"	7	89	"high"	"4.5"	"2070"	"rhyolite"	"10"	3552.97780968596	1.29818686713823	0.922832918869011	7.33448796203503	326.152710041413	989.360198550802
"219"	"short"	"LP"	7	9	"med"	"0"	"hist"	"rhyolite"	"10"	1776.97123705565	1.44440558914635	0.922986915006357	7.18343276913102	334.115462492775	431.843460281062
"221"	"short"	"LP"	7	90	"high"	"4.5"	"2070"	"rhyolite"	"20"	3182.39376966173	1.54002728205853	1.09376381759189	7.63840008001723	1773.83606189672	79.4074344310531
"223"	"short"	"LP"	7	91	"high"	"4.5"	"2070"	"rhyolite"	"50"	2433.01982926115	1.57802533968278	0.998392382924599	7.15672634574524	2545.71523503582	-4.42686614055194
"225"	"short"	"LP"	7	92	"high"	"4.5"	"2070"	"rhyolite"	"100"	2398.94119349422	1.61618223068052	0.975566094091879	7.92941423562857	2742.70213273036	-12.5336592382319
"227"	"short"	"LP"	7	93	"high"	"4.5"	"2070"	"andesite"	"10"	3946.01855482899	1.70659188132798	1.12690596454883	8.80291731885616	336.250446969645	1073.53555672306
"229"	"short"	"LP"	7	94	"high"	"4.5"	"2070"	"andesite"	"20"	3352.38208036754	1.95653605472495	1.29808022694642	8.70544773620247	2995.18333143278	11.9257724622782
"231"	"short"	"LP"	7	95	"high"	"4.5"	"2070"	"andesite"	"50"	3020.8389316658	1.9403643453086	1.21920564551564	8.20159114629794	2983.46475050387	1.25271066653669
"233"	"short"	"LP"	7	96	"high"	"4.5"	"2070"	"andesite"	"100"	2804.08472648672	2.23514823771767	1.29511724259845	9.07071180259232	3552.45390902652	-21.0662601600051
"235"	"short"	"LP"	7	97	"low"	"8"	"2070"	"rhyolite"	"10"	1250.32492336072	1.25162133739797	0.931916946919382	6.26170851389567	333.076986173417	275.38616453967
"237"	"short"	"LP"	7	98	"low"	"8"	"2070"	"rhyolite"	"20"	1526.31853867476	1.41871643565512	1.05190543910344	6.09578313483848	1108.1857343312	37.7312928140068
"239"	"short"	"LP"	7	99	"low"	"8"	"2070"	"rhyolite"	"50"	1859.22152184226	1.31733017097877	1.01170139413368	6.32227709137391	2399.3481790639	-22.5113912992975
